id,level,name,type,parent_id
nom_2377,3,TENO - Tenofovir,Mandatory,DORA - Oral Drugs
nom_2378,3,TENT - Tent for teams,Mandatory,CSHE - Shelters
nom_2379,3,TESP - Pool tester,Mandatory,CWAT - Water And Sanitation
nom_2380,3,TEST - Tester,Mandatory,PTOO - Tools
nom_2381,3,TEST - Voltage tester,Mandatory,PELE - Electricity
nom_2382,3,TEST - Water testing,Mandatory,CWAT - Water And Sanitation
nom_2383,3,TESW - Water testing (DelAgua),Mandatory,CWAT - Water And Sanitation
nom_2384,3,TETR - Tetracycline,Mandatory,DEXO - Ophtalmic Drugs For External Use
nom_2385,3,THCB - Therapeutic care book,Mandatory,L016 - Nutrition
nom_2386,3,"THCG - Therapeutic centre, guide",Mandatory,L016 - Nutrition
nom_2387,3,THEF - Antitheft system,Mandatory,TVEA - Vehicles Accessories
nom_2388,3,THER - Thermometer,Mandatory,PCOL - Cold Chain
nom_2389,3,THER - Thermometer,Mandatory,SMSU - Small Medical Supplies
nom_2390,3,THER - Thermometer for X-Ray bath,Mandatory,EDIM - Diagnostic Imaging equipment
nom_2391,3,THER - Thermostat for YAMAHA,Mandatory,TXYA - Spare Parts Yamaha
nom_2392,3,THIA - Thiamine,Mandatory,DINJ - Injectable Drugs
nom_2393,3,THIA - Thiamine,Mandatory,DORA - Oral Drugs
nom_2394,3,THIN - Thinner,Mandatory,PPAI - Paint
nom_2395,3,THIO - Thiopental,Mandatory,DINJ - Injectable Drugs
nom_2396,3,THMI - Therapeutic milk,Mandatory,NFOS - Specialized Food
nom_2397,3,THRE - Thread restoring,Mandatory,PTOO - Tools
nom_2398,3,THUR - Thuraya satellite phone,Mandatory,PCOM - Communication
nom_2399,3,TIES - Tie,Mandatory,PCOM - Communication
nom_2400,3,TIES - Tie,Mandatory,PELE - Electricity
nom_2401,3,TILE - Tile,Mandatory,ELAE - Laboratory Equipment
nom_2402,3,TILF - Tile for floor,Mandatory,CBUI - Building
nom_2403,3,TILG - Tile glue,Mandatory,CBUI - Building
nom_2404,3,TILW - Tile for wall,Mandatory,CBUI - Building
nom_2405,3,TIME - Timer,Mandatory,ELAE - Laboratory Equipment
nom_2406,3,TIME - Timer,Mandatory,ESTE - Sterilization
nom_2407,3,TIME - TIMER respiratory,Mandatory,EMEQ - Medical Equipment
nom_2408,3,TINI - Tinidazole,Mandatory,DORA - Oral Drugs
nom_2409,3,"TMAB - TRANSPORT MEDIUM, aerobic bacteria",Mandatory,SLAS - Laboratory Reagents
nom_2410,3,TMCF - TRANSPORT MEDIUM FOR CSF,Mandatory,SLAS - Laboratory Reagents
nom_2411,3,"TOCS - Tool, combination spanner",Mandatory,PCOM - Communication
nom_2412,3,TOGG - Toggle,Mandatory,CSHE - Shelters
nom_2413,3,TOMA - Tomato sauce,Mandatory,AFOO - Food For Msf Staff
nom_2414,3,TOOB - Tool kit,Mandatory,PTOO - Tools
nom_2415,3,TOOB - Toothbrush,Mandatory,PHYG - Hygiene
nom_2416,3,TOOH - Tool holder,Mandatory,PTOO - Tools
nom_2417,3,TOOL - Tools,Mandatory,CWAT - Water And Sanitation
nom_2418,3,TOOP - Toothpaste,Mandatory,PHYG - Hygiene
nom_2419,3,TOOS - Tool set,Mandatory,PTOO - Tools
nom_2420,3,TORK - Torx® key,Mandatory,PTOO - Tools
nom_2421,3,"TOSD - Tool, screwdriver",Mandatory,PCOM - Communication
nom_2422,3,TOUR - Tourniquet,Mandatory,EANE - Anaesthesia
nom_2423,3,TOUR - Tourniquet,Mandatory,EMEQ - Medical Equipment
nom_2424,3,TOWE - Towel,Mandatory,PHYG - Hygiene
nom_2425,3,TPTB - Transport book,Mandatory,L013 - Laboratory
nom_2426,3,"TRAB - Training, Book",Mandatory,L021 - Training - Education
nom_2427,3,TRAD - Dressing Tray,Mandatory,EMEQ - Medical Equipment
nom_2428,3,"TRAG - Training, Guide",Mandatory,L021 - Training - Education
nom_2429,3,TRAM - Tramadol,Mandatory,DINJ - Injectable Drugs
nom_2430,3,TRAM - Tramadol,Mandatory,DORA - Oral Drugs
nom_2431,3,TRAN - Tranexamic acid,Mandatory,DORA - Oral Drugs
nom_2432,3,TRAN - Transparency,Mandatory,ASTA - Stationery
nom_2433,3,TRAY - Paint tray,Mandatory,PPAI - Paint
nom_2434,3,"TRCB - Trachoma, book",Mandatory,L011 - Ophthalmology - Dermatology
nom_2435,3,"TRES - Suction side dosing, accessories",Mandatory,CWAT - Water And Sanitation
nom_2436,3,"TREU - Water treatment unit, accessories",Mandatory,CWAT - Water And Sanitation
nom_2437,3,TRFB - Transfusion book,Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf
nom_2438,3,"TRFB - Transfusion, book",Mandatory,L013 - Laboratory
nom_2439,3,"TRFD - Transfusion, CD-Rom",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf
nom_2440,3,"TRFG - Transfusion, guide",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf
nom_2441,3,TRHF - Transceiver HF,Mandatory,PCOM - Communication
nom_2442,3,TRHG - HANDLE FOR TROCAR,Mandatory,ESUF - Surgical Instruments For External Fixator
nom_2443,3,TRIB - Triclabendazole,Mandatory,DORA - Oral Drugs
nom_2444,3,TRIC - Trisodium citrate,Mandatory,SLAS - Laboratory Reagents
nom_2445,3,TRIH - Trihexyphenidyl,Mandatory,DINJ - Injectable Drugs
nom_2446,3,TRIM - Trimethoprim,Mandatory,SLAS - Laboratory Reagents
nom_2447,3,TRIP - Fall arrest tripod,Mandatory,PSAF - Safety And Protective Equipment
nom_2448,3,TRIS - Tripod stand,Mandatory,ELAE - Laboratory Equipment
nom_2449,3,TROA - Anaesthesia Table,Mandatory,EHOE - Hospital Equipment
nom_2450,3,"TROB - Tropical Medicine, Book",Mandatory,L002 - Internal Medicine
nom_2451,3,TROC - Trocar,Mandatory,SINS - Injection Supplies
nom_2452,3,"TROG - Tropical Medicine, Guide",Mandatory,L002 - Internal Medicine
nom_2453,3,TROL - Trolley,Mandatory,EHOE - Hospital Equipment
nom_2454,3,TROL - Trolley,Mandatory,PHYG - Hygiene
nom_2455,3,TROL - Trolley,Mandatory,PPAC - Packing And Handling
nom_2456,3,TROP - Tropicamide Mydriaticum,Mandatory,DEXO - Ophtalmic Drugs For External Use
nom_2457,3,"TROS - Trousers, Surgical",Mandatory,ELIN - Linen And Protective Clothing
nom_2458,3,TROU - Trousers for Salter scale type,Mandatory,EANT - Anthropometric Equipment
nom_2459,3,TROW - Trowel,Mandatory,PTOO - Tools
nom_2460,3,TRPG - Transport guide,Mandatory,L041 - Mechanics /Transport
nom_2461,3,"TRSA - Transceiver, satellite",Mandatory,PCOM - Communication
nom_2462,3,TRSG - TROCAR/SLEEVE,Mandatory,ESUF - Surgical Instruments For External Fixator
nom_2463,3,TRUC - Pallet truck,Mandatory,PPAC - Packing And Handling
nom_2464,3,TRUH - Transceiver UHF,Mandatory,PCOM - Communication
nom_2465,3,TRUI - Transceiver UHF (Icom),Mandatory,PCOM - Communication
nom_2466,3,TRUN - Trunck,Mandatory,PPAC - Packing And Handling
nom_2467,3,TRVH - Transceiver VHF,Mandatory,PCOM - Communication
nom_2468,3,TRVI - Transceiver VHF (Icom),Mandatory,PCOM - Communication
nom_2469,3,"TRYB - Trypanosomiasis, Book",Mandatory,L006 - Parasitic Infectious Diseases
nom_2470,3,"TRYC - Trypanosomiasis, Chagas",Mandatory,DDGT - Diagnostic tests
nom_2471,3,"TRYD - Trypanosomiasis, Digital media",Mandatory,L006 - Parasitic Infectious Diseases
nom_2472,3,"TRYG - Trypanosomiasis, Guide",Mandatory,L006 - Parasitic Infectious Diseases
nom_2473,3,TRYT - Trypano Test,Mandatory,DDGT - Diagnostic tests
nom_2474,3,TSBA - Tryptic Soy Blood Agar Base,Mandatory,SLAS - Laboratory Reagents
