"name";"property_account_income_categ.code";"property_account_expense_categ.code";"family_id.complete_name"
"Electricity";6311;6311;"LOG / Programm Support / Electricity"
"SPARE PARTS LISTER";6720;6720;"LOG / Programm Support / SPARE PARTS LISTER"
"SPARE PARTS LOMBARDINI";6720;6720;"LOG / Programm Support / SPARE PARTS LOMBARDINI"
"SPARE PARTS CATERPILLAR";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SPARE PARTS YANMAR";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Safety and protective equipment";6540;6540;"LOG / Programm Support / Safety and protective equipment"
"Hygiene";6540;6540;"LOG / Programm Support / Hygiene"
"Small medical supplies";6460;6460;"MED / Medical renewable supplies / Small medical supplies"
"Medical stationery";6460;6460;"MED / Medical renewable supplies / Medical stationery"
"Laboratory reagents";6470;6470;"MED / Medical renewable supplies / Laboratory reagents"
"Sutures";6460;6460;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"X-RAY SUPPLIES";6450;6450;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Injection supplies";6460;6460;"MED / Medical renewable supplies / Injection supplies"
"Specialized food";6431;6431;"MED / Medical renewable supplies / Specialized food"
"Dressings";6460;6460;"MED / Medical renewable supplies / Dressings"
"Catheters, tubes and drains";6460;6460;"MED / Medical renewable supplies / Catheters, tubes and drains"
"Spare parts Land Rover";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SPARE PARTS VEHICLES HONDA";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts DAF";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SPARE PARTS VEHICLES IVECO";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts MAN";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts Mercedes";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Spare parts Renault";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
